source,target
曲线,路 正文 直 弯曲 线 
坐垫,沙发 颜色 羽毛 睡眠 床 广场 小 休息 椅子 舒适 一轮 头 软 填充 枕头 泡沫 
cuss,亵渎 诅咒 发誓 单词 坏 语言 
蛋ust,甜 甜点 奶油 派 布丁 蛋 
客户,生产 好 客户端 服务 店 顾客 消费 购买 钱 存储 支付 人 
切,件 边缘 使 人类 食品 小 血液 对象 刀分开 纸 剪刀 部分 艺术 头发 单独 行动 印章 
残酷的,硬 谋杀 死 竞争 人 
旋风,风暴 圆 龙卷风 破坏 播放 旋风 热带 天气 风 扭曲 游戏 
圆柱体,几何 形状 数学 圆 
爸爸,爱 提供 之一 家庭 儿童 父亲 男性 保护 他 父母 
匕首,粗糙拆分 护套 锋利 边缘 损坏 金属 电影 长 斗争 血 刀 小 木材 伤害 切 发光 刺 保护 狩猎 猛刺 地面 人类 结束 危险 点 手 穿刺 工具 投掷 绘制 冷 对象 大 
每天,一周 例程 一天 例行 天 发生 常见 每天 时间 工作 周 时间表 
乳制品,牛 生产 食品 奶油 牛奶 奶酪 
大坝,屏障 跨 流量 水 仪表 
损坏,休息 破坏 伤害 原因 
该死,谴责 诅咒 发誓 地狱 坏 
年轻女人,遇险 美容 女人 年轻 女性 
舞蹈,移动 音乐 芭蕾舞团 乐趣 正文 
舞者,舞蹈 移动 音乐 专业 节奏 表演 人 
蒲公英,草 地面 种子 干 讨厌的人 花粉 花卉 成长 过敏 植物 黄色 杂草 绒毛 绿色 可以 
头皮屑,头皮 死 洗发水 皮肤 白 干 头发 片状 
危险,暴露 警告 恐吓 风险 伤害 安全 危险 
黑暗,缺席 颜色 睡眠 光 相反 请参阅 时间 晚上 恐慌 邪恶 黑色 人 
飞镖,快速 移动 锋利 投掷 董事会 对象 游戏 点 
数据,统计 计算 实验 收集 研究 信息 科学 数量 
日期,天 月 约会 年 时间 日历 
女儿,母亲 后代 女人 儿童 女孩 女性 父母 
黎明,上升 一天 早期 太阳 开始 早上 
一天,一周 苏醒 一个 光 学校 太阳 时间 二十四年 小时 工作 晚上 
天,天 二十四 时间 小时 周 
白天,苏醒 光明 光 学校 太阳 时间 工作 晚上 
死了,生活 悲伤 长寿 
致命的,杀死 致命 伤害 原因 死亡 危险 
聋人,登录 语言 声音 援助 耳 能 听到 有感觉 人 
交易,出售 两个 同意 讨价还价 卡 
经销商,出售 药物 人 交易 汽车 卡 
死亡,生活 到期 死 死亡 结束 
辩论,争论 政治 讨论 边 意见 
衰减,下降 腐烂 向下 中断 组成 
欺骗,说谎 真相 诚实 铅 假 把戏 欺骗 真实 
体面,道德 对 良好 尊重 礼貌 
决定,决定 命令 结论 一个 思想 希特勒 选择 规则 向上 头脑 控制 
分解,打破 腐烂 向下 离开 
装饰,饰品 查找 向上 装饰 添加 
减少,小的 小 淡入淡出 低 出现 减少 金额 少 
深,浅 暗 海洋 水 远 向下 深度 孔 
鹿,鹿角 单 木 吃 男性 毛皮 哺乳动物 尾巴 人 蹄 快速 方 草食动物 腿 小鹿斑比 运行 狩猎 棕色 野生 四 之一 白 鹿 眼 马 胆小 动物 
击败,来 赢 击败 比赛 失败 
保卫,争论 返回 攻击 向上 保护 
防守,保护 进攻 体育 足球 
定义,状态 解释 查找 定义 单词 平均 字典 给出 
确定性,答案性 定义性 权威性 结论性 最终性 
除霜,移动 解冻 融化 温暖 向上 冻结 冰 
降低,尊重 降低 破坏 侮辱 
学位,学院 研究生 水平 数量 测量 单位 温度 
精致,轻松 休息 柔软 护理 脆弱 
美味,口味 好 百胜 食品 请 享受 
喜悦,喜悦 快乐 原因 请 享受 
传递,好 一个 采取 地方 发送 给 邮件 带来 人 
需求,按 沟通 进取 顺序 钱 问 写 愤怒 威胁 力 强壮 服务 苛刻 行动 动词 坚持 人类 自己 某人 想要 需要 做 坏 心烦命令 欲望 请求 动物 食品 重要 粗鲁 对象 组 
黛咪,一半 名称 小 部分 神 
民主,系统 政治 投票 免费 人 政府 
民主人士,方 政治 共和国 翼 自由主义 民主 请假 
恶魔,魔鬼 地狱 生物 撒旦 精神 邪恶 
拒绝,拒绝 状态 说谎 说 信仰 将 转 想要 承认 离开 允许 接受 
密集,坐 舒适 放松 靠垫 枕头 
凹痕,表面 叮 损坏 原因 事故 
除臭剂,好 气味 手臂 白 腋下 
部门,组织 划分 办公室 区域 部分 存储 组 大 
依赖,期望 计数 依赖 需要 儿童 信任 人 
可靠,计数 响应 可靠 朋友 依赖 始终 很好 值得信赖 时间 工作 
存款,地方 钱 帐户 银行 添加 
深度,尺寸 水 度量 向下 深度 
副,协助 警长 警察 法律 习惯 办公室 坏 罪恶 举行 瘾君子 部队 工作 人 
下降,移动 楼梯 飞机 地面 物理 正式 远 位置 下 高 向下 飞 意图 更改 请假 秋天 行动 
血统,地方秋天 来 去 命中 低 攀爬 底部 旅行 物理 平面 关闭 行动 移动 山 下来 某事 慢 结束 危险 意图 过程 楼梯 土地 目的地 名词 高 
沙漠,土地 水 区域 地方 干 沙 
设计师,计划 新 艺术 创建 时尚 人 
欲望,感觉 爱 性别 想要 需要 坏 欲望 人 
办公桌,表面 家具 计算 四 办公室 木材 腿 地方 学生 抽屉 教室 事 工作 写 
甜点,用餐 餐 蛋糕 甜 奶油 派 巧克力 之后 冰 
命运,将 命运 未来 一个 发生 意味着 结束 确定 
销毁,电影 完成 更改 分开 崩溃 物理 打孔 拆除 伤害 休息 摆脱 行动 烧伤 杀死 决定 人类 永久 某事 想要 坏 使用战斗 集团 工具 废墟 混乱 消防 沉船 向下 对象 汽车 
破坏,破坏 顺序 悲伤 损失 结构 完成 杀死 人类 结束 危险 集团 损坏大 废墟 混乱 沉船 部分 暴力 请 对象 
分离,移动 分离 采取 部分 离开 分开 
详细信息,描述 小 特定 添加 汽车 
侦探,神秘 办公室 犯罪 解决 调查 警察 人 
恶化,下来 腐烂 休息 慢 丢失 磨损 离开 分开 秋天 
确定,决定 图 结论 查找 选择 
发展,创造 更多 建立 成长 成熟 
开发,进度 增长 更改 创建 构建 过程 
魔鬼,红色 地狱 坏 神 撒旦 邪恶 人 
露水,草 潮湿 水 湿 冷凝 植物 早上 拖放 找到 
拨,圆 肥皂 转 数字 电话 
直径,数学 圆 长度 跨 宽 远 中心 半径 几何 措施 线 
钻石,费用 硬 岩 闪闪发光 珠宝 光泽 环 值 女孩 订婚 
日记,事件 新闻 本书 天 牛奶 记录 经验 写 人 
骰子,赌博 件 侧 广场 六个 切 数量 游戏 点 多维数据集 
独裁者,希特勒 权力 铅 规则 人 
字典,本书 平均值 单词 列表 语言 包含 字母 
死,死 死亡 悲伤 正文 自愿 黑色 休息 物理 气味 花卉 行动 生活 杀死 人类 永久 慢 突然 黑暗 生病 情感 冷 离开 结束停止 恐慌 
不同,相同 怪异 相似 同意 通常 不同 奇数 正常 奇怪 如 独特 
差异,相同 相似 不同 像 相减 
困难,挑战 缓解 困难 问题 复杂 
难度,挑战 缓解 困难 问题 级别 
挖,移动 污垢 铲 地球 孔 
挖掘机,一 铲 挖 矿 地球 孔 
数字,计数 数学 一个 手指 正文 数量 数字 脚趾 添加 电话 九 
尊严,自己 骄傲 尊重 价值 人 
困境,两个 处境 困难 问题 选择 
勤奋,护理 确定 工作 努力 
莳萝,腌菜 酸 风味 类型 绿色 
昏暗,感觉 硬 看轻 暗 光 通过 低 明亮 跌倒 意识 
一角钱,银 小 硬币 十 分 钱 一轮 价值 货币 
用餐,食品 膳食 吃 餐厅 花式 
晚餐,一天 餐 食品 服务 最后 地方 膳食 吃 家庭 餐厅 时间 午餐 进餐 晚上 人 
恐龙,爬行动物 动物 大 灭绝 
浸,芯片 游泳 低 液体 灌篮 
文凭,奖项 课程 学校 学位 研究生 证书 完成 成就 论文 
直接,向前 方式 点 面 直 
方向,北 右 帮助 东 指南针 地图 南 离开 西 方式 
污垢,棕色 地面 泥 清洁 成长 地球 植物 蠕虫 
脏,污垢 清洁 泥 气味 
不同意,相同 视图 争论 同意 不同 相反 意见 反对 人 
意见不同,两个 争论 战斗 同意 不同 人 
消失,快速 魔术 消失 通过 淡入淡出 请参阅 出现 离开 视线 
难以置信,信仰 震惊 真正 惊喜 信任 怀疑论者 真实 怀疑 
不相信,信仰 信任 真实 接受 怀疑 
光盘,通知 圆 计算 刹车 电影 塑料 举行 视频 平面 播放 碗 一轮 游戏 玻璃 陶瓷 板 颜色 飞盘 热 光盘 音乐 清洁 食品 洗 厨房 存储 亮度 
门徒,教 圣经 基督 耶稣 跟随 神 
纪律,教 表现 惩罚 规则 服从 
不适,感觉 缓解 处境 舒适 疼痛 轻度 
劝阻,失败 告诉 说服 否定 
发现,一次 发现 未命中 新 查找 探索 时间 丢失 第一 
疾病,he愈 疾病 影响 身体 顺序 坏 生病 病 感染 
丢脸,羞耻 尴尬 荣誉 向下 坏 
伪装,服装 面具 不同 隐藏 出现 身份 封面 向上 更改 人 
恶心,心烦 口味 讨厌 感觉 呕吐 食品 方式 气味 原因 抛出 坏 向上 生病 病 毛 胃 怀孕 
碗碟,银 来 金属 柜 水 勺子 吃 塑料 举行 食品洗碗机 查找 不同 碗 中国 一轮 关闭 使用 玻璃 陶瓷 杯 颜色 污垢 需要 家务 洗 
不诚实,说谎者 说谎 告诉 真相 信任 作弊 真实 
洗碗机,机架 电动 由 肥皂 清洁 金属 洗涤剂 水 洗 按钮 家电 菜 大声 厨房 
瓦解,打破 破坏 出现 片断 分开 秋天 
不喜欢,感觉 讨厌 走向 否定 喜欢 
分散,分散 划分 分布 离开 散布 
显示,音乐 表演 操作 项目 观看 娱乐 电影 执行 剧院 播放 请参阅 电视 显示 关闭 
忽略,专心 忘记 听 护理 避免 支付 忽略 确认 
异样,相同 不同 对立 像 
溶解,形成 打破 水 融化 出现 液体 混合 
距离,两个 长度 远 英里 空间 措施 点 
独特的,一个 个体 不同 特殊 独特的 不同的 清晰的 种类 分开的 特定的 
打扰,打扰 母亲 讨厌的人 中断 行动 
沟,排水 污垢 地面 沟 挖 深 第一次世界大战 水 地方 路 长 谷 地球 世界 离开 战争 保护 孔 
抖动,神经 决定 混淆 恐惧 振动 
跳水,水 位置 游泳 正文 自愿 更改 风险 形状 空气 行动 移动 宽限期 人类 自己 意图 首长 秋天 跳转 体育 高 向下 固体 
除,数学 单独 部分 除 
做,任务 技能 材料 完成 改进 思想 执行 组织工艺 机 创建 行动 人类 做 在一起 烘烤 工作 过程 窗体 生产 部分 对象 
医生,医院 手术 帮助 学校 白 生病 医学 人 
母鹿,动物 兔子 鹿 女性 人 
狗,宠物 毛皮 尾巴 咀嚼 舌头 气味 播放 腿 可爱 树皮 绒毛 保护 鼻子 食肉兽 最佳 追逐 之一 头发 颜色哺乳动物 国内 犬 骨 大小 朋友 动物 类型 意味着 湿 对象 呼吸 
娃娃,芭比娃娃 小小 服饰 人类 自己 收集 播放 瓷 婴儿 塑料 玩具 向上 儿童 头发 女孩 布 漂亮 
美元,现金 绿色 纸 钱 条例草案 货币 
域,数学 领土 地方 区域 家庭 
优势,坚强 权力 铅 收费 控制权 
统治,控制 采取 权力 统治 
不要,合同 命令 行动 否定 停止 
捐赠,多余 保存 收集 种类 组织 小 接收 免费 时间 使用 行动 礼品大 好 镜头 人类 血液 自己 慷慨 集团 布 帮助 情感 很好 良好 请 对象 认可 
驴,草 携带 长 吃 正文 毛皮 耳朵 牙齿 蹄 固执 小 起伏 胡萝卜 运输 农场 灰色 棕色 腿部 噪声 四 慢 哺乳动物尾巴 踢 工作 头发 马 短 动物 强 大 
门铃,内部 访问 外部 由 噪声 推 环 按钮 警报 房子 人 
门把手,打开 输入 推 锁 地方 结构 角度 房间 在 件 铰链 木材 一轮 封面 关闭 玻璃 轮 边界 移动 硬 屏障 壁 人类 退出 私人 结束 拉 单独 手 出 由 冷 保持 薄通过 通道 房子 对象 强 
通过,将 打开 移动 类 放置 一个 允许 通过 给 房间 边 门 进入 
点,糖果 圆 颜色 锋利 小 锥 污点 圆点 结束 波尔卡 标记 点 
疑问,问题 感觉 信仰 确定 
面团,面包 面粉 钱 烘烤 饼干 糕点 比萨 
甜甜圈,面团 蛋糕 油炸 甜 环 形状 
鸽子,两个 喙 吃 和平 城市 飞 羽毛 脚 公园 翼 蛋 树 灰色 铺设 咕 巢 白 鸟 动物 粪便 符号 
向下,感觉 直接 地面 下面 相反 低 向上 秋天 
楼下,楼梯 地板 下面 底部 房间 
市中心,忙 城市 区域 中心 商店 镇 部分 交通 业务 生成 人 
一打,十二 十三 数量 烘烤 蛋 
吸血鬼,吸血鬼 毒牙 人类 吸 血液 字符 饮料 神话 生物 血 蝙蝠 
拖动,表面 移动 杀死 地板 地面 来 人类 困难 物理 努力 有 意图 拉 沉沉 行动 带来 
龙,爬行动物 火 生物 神话 规模 怪物 翼 飞 呼吸 野兽 
排水管,堵塞 驱除 水槽 排水管 金属 水 管 连接 浴缸 一轮 液体 厨房 
悬垂,绝缘 打开 颜色 出 光 私人 窗口 太阳 长 保持 封面 材料 装饰 关闭 吊 晚上 
绘制,沟通 技能 材料 漂亮工具 艺术 思想 物理 形状 创建 行动 颜色 铅笔 人类 表达 想法 图片 生产 油漆 感知 纸张 情感 对象 
绘画,颜色 油漆 铅笔 素描 笔 帆布 艺术 画笔 图片 
梦想,睡眠 视觉 图像 思维 想法 
裙子,迷你 舞蹈 费用 腰部 长 女人 材料 底部 女孩 腿 休闲 磨损 显示 颜色 紧身 人类 之一 女性 布 裙子 袖子 顶部 短 衬衫 布覆盖 对象 漂亮 
梳妆台,大 家具 起伏 木材 抽屉 角度 存储 镜子 卧室 布 手 
敷料,伤口 顶部 把 沙拉 酱 法案 封面 布 
钻,锋利 金属 手持式 研磨 石油 正文 材料 薄 问 头 黑色 孔 牙齿 牙医 咬 快速 手动 木材 机 转 物质 运动 创建 使用 行动 生成 表面 和经验 电动 地面 人类 螺钉 设备 电源 甲板 工作 消息 过程 工具 挖 大小 问题 打开英镑 房子 对象 使 
喝,燕子 动物 人类 嘴里 倒 消费 热 健康 享受 玻璃 液体 行动 
滴灌,泄漏 水 湿 水龙头 拖放 秋天 液体 
驱动器,踏板 沮丧 轮到 长 转向 气体 更改 船 快速 缓解 速度 乐趣 车辆 运输转发 行动 移动 飞机 人类 慢 平均 首页 危险 意图 控制 手 信号 朋友 定位 汽车 
驱动程序,操作 一个 车辆 驱动器 汽车 人 
车道,巷子里 地方 车库 路 公园 公路 首页 铅 房子 街 大道 驱动器 路径 输入 汽车 
驾驶,速度 车辆 路 十六 汽车 
流口水,打开 肌肉 嘴唇 正文 自愿 颊 液体 气味 狗 婴儿 放松 发光 渴望 允许 内脏 行动 睡眠 饥饿 过量 人类 食品口 倒 唾液 向上 毛 下巴 动物 混乱 湿 向下 脸 出来 
拖放,去 命中 举行 损失 自愿 重力 崩溃 滑移 允许 空气 行动 移动 地板 东西 让 想要 本书下来 控制 周围 对象 噪音 停止 
淹死,肺 吸入 死 水 淹没 呼吸 
困倦,睡眠 轮胎 医疗 需要 原因 
药物,大麻 杂草 法律 可卡因 上瘾者 药房 坏 滥用 医学 上瘾 
鼓,音乐 乐队 请注意 金属 仪器 命中 节奏 击败 棒 皮肤 产生 一轮 噪音 大声 低音 
醉酒,酒精 饮料 有毒 啤酒 人 
干,沙漠 湿 水 缺乏 湿润 
鸭,两个 野鸭 池塘 语音 命中 水 宠物 吃 湖 嘎嘎 人 羽毛 网站 一起 腿 鱼 一轮 蛋 条例草案 铺设 混乱翅膀 狩猎 移动 蹒跚 噪声 慢 鸟 眼 喙 
鸭子,羽毛 池塘 脚 蹒跚 动物 水 鸡蛋 游泳 吃 web 飞 迁移 鸟 喙 嘎嘎 
到期,期望 欠 时间 日期 支付 转折 
愚蠢,教育 哑巴 愚蠢 延迟 智能 慢 缺乏 金发 白痴 等级 忽略 人 
转储,垃圾 扔 休息 废物 地方 离开 拖放 
dunebuggy,快速 大声 屋顶 没有 乐趣 车轮 四 卷 车辆 沙 海滩 运输 引擎 栏 大 汽车 
扣篮,浸 推 水 浸水 篮球 
重复,相同 两个 副本 双 再次 精确 双胞胎 结束 重复 
黄昏,天 太阳 黎明 黑暗 晚上 
灰尘,污垢 清洁 颗粒 过敏 打喷嚏 
簸pan,边缘 携带 金属 手持式 扫帚 广泛 塑料 举行 泛 小 运输 地板 人类 向上 清扫 捡 帮助 灰尘 玻璃单位 对象 
责任,响应 一个 要求 收费 道德 任务 帐户 职责 工作 行动 义务 
炸药,炸药 硝酸甘油 爆炸 棒 
王朝,国王 家庭 中国 规则 线 
鹰,so翔 喙 吃 飞 羽毛 免费 翼 生成 山 食肉兽 鼠标 巢 危险 鸟 啮齿动物 眼 爪 秃头 我们 很好 请参阅 捕食者 鸡蛋 符号 大 
耳朵,两个 敏感 听着 沟通 凹凸 刺穿 对象 结构 头 通知皮肤 孔 声音 形状 圆环 人类 对 感官 音乐 动物 脸 附件 侧面 
早,太阳 之前 时间 向上 早上 晚 
耳罩,颜色 冬季 以上 表带 冷 温暖 儿童 磨损 温度 毛皮 软 绒毛 保护 耳朵 头 一轮 
认真,真诚 诚实 渴望 认真 真实 
耳环,银 珠宝 刺穿 耳钉 垂下 钻石 耳 磨损 黄金 漂亮 
地球,生活 土地 地图 球 水 地球 一轮 行星 对象 世界 领域 
地震,震动 板 地面 灾难 恐吓 破坏 原因 地球 自然 
东,直接 北 新 西 海岸 
复活节,星期日 复活 庆祝 兔子 基督 耶稣 春天 蛋 假日 宗教 
简单,困难 复杂 轻松 努力 很好 简单 
吃,用餐 营养 勺子 钱 咀嚼 乐趣 消费 健康 行动 消化 生活 库克 一天 早餐 饥饿 人类 生存 三个 治愈 过程 胃 使用手 燕子 肠 口味 动物 成长 享受 
偷听,秘密 鼻子 窥探 潜行 八卦 结束 耳 听 间谍 听到 交谈 
经济,坏 钱 财政 国家 
摇头丸,感觉 喜悦 快乐 情感 药物 请 极端 
编辑器,编辑 正确 读 写 人 
教育,教 本书 学院 学习 学校 知道 
鳗鱼,电动 海洋 水 鱼 长 吃 游泳 危险 蛇 软泥 灰色 
影响,力 力量 后果 影响 思想 摇摆 发生 命中 原因 碰撞 变化 结果 更改 汽车 
努力,艰苦 尝试 努力 能源 目标 给予 工作 迈向 
蛋,生产 椭圆形 母鸡 食品 鸟 铺设 
茄子,花园 圆 蔬菜 吃 植物 里面 消费 显示 库克 硬 人类 甜 黄色 黑暗 白成长 顶部 叶 紫色 软 大 绿色 藤 
鸡蛋,生产 椭圆形 吃 一轮 女性 鸡 鸟 铺设 
自我,人类 id 自己 一个 图像 认为 大 人 
埃及,金字塔 法老王 尼罗河 沙漠 国家 非洲 热 沙 
八个,一个 四个 七个 之前 数量 之后 九 甚至 
爱因斯坦,天才 数学 理论 智能 物理 科学 辉煌 相关 
弹出,打开 推 座位 更改 推出 拆分 物理 平面 空气 行动 移动 人类 采取 某事 电源 事件 内容 定位 离开 
详细说明,解释 详细信息 更多 添加 展开 
肘部,肌肉 弯曲 铰链 伤害 关节 干 行动 移动 抓斗 扔 腿部 人类 扩展 四 连接 手臂 冬季骨 肌腱 直 点 感官 肩膀 帮助 之间 粗糙 
选举,投票 总统 选择 办公室 
电气,功率 充电 产生 冲击 电流 
电工,电动 电线 修复 工作 人 
电力,功率 光 能源 电力 电流 
电子,电荷 电 粒子 求和 部分 原子 化学 
元素,时期 表 火 水 整个 部分 地球 风 
大象,四耳朵 长 吃 家庭 哺乳动物 毛皮 尾巴 恐惧 人 沉重 脚 平面 查找 腿 树干 灰色 狩猎 鼻子 皱纹 野生 噪声 花生 皮肤 皮革 眼 象牙 襟翼 动物园 动物 很好 非洲 马戏团 巨大 强 大 
电梯,携带 金属 对象 选择 肌肉 位置 按钮 举行 转到 重力 底部 更改 带来 人 沉重 力 缓解 框 提升 伤害 腿 称重 移动目的 运输 生成 行动 电缆 电动 地面 人类 电源 向上 避免 工作 手 楼梯 容量 帮助 由 返回 高 向下 机 
十一,加号 一个 十 团队 数量 
小精灵,短 小说 帮助 小 基督 圣诞老人 生物 点 耳朵 人 
消除,移动 丢弃 获取 摆脱 离开 
麋鹿,鹿角 角 吃 毛皮 哺乳动物 人 快速 蹄 旅行 草食动物 腿 森林 狩猎 棕色 四 牧群 鹿 动物 大 
浮雕,提高 艺术 邮票 设计 装饰 
翡翠,美容 费用 石头 地面 贵重 珠宝 光泽 环 磨损 出生 如 项链 绿色 
紧急,救护车 帮助 需要 九十一点 警察 恐慌 紧急 医院 
表情,感觉 情感 一个 单词 短语 脸 显示 夸大 行动 看 
情感,感觉 快乐 悲伤 表达 愤怒 
移情,感觉 理解 情感 同情 相关 可以 
皇帝,权力 国王 铅 规则 头 帝国 君主 
帝国,状态 国王 生成 大 政府 
员工,棍 雇员 薪酬 业务 工作 组 步行 人 
雇主,老板 雇用 雇员 钱 给 业务 工作 支付 收费 人 
就业,金钱 工作 职业 薪酬 
空,材料 完成 更改 液体 刮擦 物质 创建 玻璃 空气 行动 移动 好 人类 采取 想要 悲伤清洁 内容 出 定位 离开 清除 
mu,鸵鸟 羽毛 动物 脖子 腿 澳大利亚 长 飞 鸟 喙 不能 大 
鼓励,启发 自信 勇气 支持 给予 
结束,更多 以上 关闭 故事 最后 结束 部分 开始 完成 最终 停止 对面 
无尽的,有限的 永恒的 永远的 结束的 
敌人,对手 朋友 仇恨 坏 竞争 敌人 喜欢 反对 人 
精力充沛,激发 能源 充分 行动 热情 
能源,光 电力 饮料 能 
订婚,结婚 利息 
引擎,马达 设备 机械 电源 车辆 部分 运行 机 汽车 
英语,英语 美国 说 语言 人 
享受,快乐 乐趣 采取 查找 请 
放大,大小 请参阅 增长 增加 关闭 玻璃 大 
足够,更多 满足 丰富 需要 数量 足够 
输入,命令 接受 外部 来 由 走向 通过 里面 查找 行动 人类 关闭 动物 到达 转到 意图 步行 在 
娱乐,音乐 乐趣 法案 娱乐 执行 保持 逗乐 享受 行动 提供 人 
入口,打开 由 门口 小 地方 区域 水 正文 出口 门 输入 生成 对面 
条目,移动 打开 由 退出 某事 通过 神秘 前面 行动 地方 当前 部分 房间 到达 开始 意图 门 步行 
信封,颜色 大小 地址 密封 邮票 舔 信 纸 发送 白 发布 
嫉妒,感觉 其他 令人垂涎 情感 嫉妒 想要 渴望 欲望 
相等,相同 平衡 金额 公平 甚至 
橡皮擦,移动 铅笔 擦除 标记 结束 离开 橡胶 写 
直立,硬 刚性 站立 对 高 向上 直 生成 
侵蚀,慢 水 远 洗 磨损 岩石 自然 
爆发,熔岩 打击 爆炸 火山 向上 大声 爆发 愤怒 
自动扶梯,移动 楼梯 电动 金属 一步 扶手 向下 向上 购物中心 转到 生成 黑色 
逃生,打开 按 目标 恐惧 释放 移动风险 搜索 快速 光 查找 休息 免费 运行 偷偷摸摸 救济 行动 生活 人类 暗 采取 远 想要 逃跑 坏 安全 共享 意图 神经 帮助 监狱 由 动物 离开 
田螺,食品 蜗牛 吃 精致 法国 
论文,段落 主题 纸张 学校 报告 写 
本质,基本 核心 气味 部分 物质 
自尊,感觉 自信 尊重 高 自我 人 
估计,教育 计算 成本 近似值 猜测 
伦理,信仰 道德 对 错 原则 价值 
礼节,适当 社会 良好 规则 礼貌 方式 行动 行为 
尤里卡,发现 真空 清洁 光 显示 
欧洲,欧元 国家 许多 亚洲 大陆 
撤离,移动 空 地方 区域 危险 离开 
偶数,相同 两个 相反 奇数 数量 公平 相等 级别 
晚上,黄昏 月亮 一天 睡眠 下午 太阳 时间 明星 黑色 相等 黑暗 晚上 夜间 
逐出,移动 踢 强制 离开 租金 支付 
证据,事实 犯罪 现场 法院 证明 
邪恶,道德 伤害 原因 坏 邪恶 
母羊,动物 羊毛 女性 毛 绵羊 
考试,问题 学校 年级 测试 知道 
例如,解释 帮助 显示 想法 人 
exedrin,名称 品牌 结束 丸 救济 头痛 疼痛 计数器 医学 
excel,程序 以上 很好 微软 超越 
优秀,很好 最好 很棒 顶级 
卓越,普通 最佳 杰出 良好 特殊 伟大 独特 
交换,两个 损坏 钱 易货 更改 亲吻 贸易 拥有 新 物理 接收 不同 匡威 目前 购买 行动 轮 好 快乐目的 人类 采取 交换 某事 某人 坏 给予 共享 开关 看看 动物 之间 获取 对象 存储 礼物 
消费税,移动 税 酒精 切 行为 
兴奋,喜悦 快乐 情感 能量 焦虑 
借口,说谎 原因 想要 向上 方式 
行政,管理 公司 老板 业务 政府 
行使,好 健身房 帮助 物理 称重 汗 健康 升降机 损失 运行 形状 工作 ups 人 
呼气,肺 碳 吸气 呼吸 空气 
劝诫,推动 警告 勇气 催促 建议 
退出,登录 由 红色 地方 转义 离开 方式 输入 生成 紧急 
费用,费用 账单 金钱 支付 支出 
昂贵,钱 房子 价格 成本 汽车 
经验,事件 发生 记忆 行动 知道 
专家,特别 知道 领域 专业 区域 特定 技能 经验 人 
解释,教 解释 详细 告诉 理解 发生 原因 借口 为什么 给定 
资源管理器,发现 旅行 新 查找 冒险 人 
表达,快速 感觉 火车 显示 说 迅速 
扩展名,更多 长度 长 时间 额外 添加 
灭绝,恐龙 更多 永远 动物 很多 存在 长 死了 
额外,多余 更多 需要 添加 人 
奢侈的,多余的 费用 顶部 豪华的 超过 
性格外向,其他 社会 外向 朋友 谈话 大声 人 
狂喜,庆祝 快乐 赞美 激发 欢乐 
眼,两个 圆 功能 头 物理 保护 视觉看到 棕色 鼻子 移动 颜色 人类 对 白 感知 情感 脸 部分 对象 
眼球,动物 角膜 请参阅 正文 部分 一轮 视线 
眉毛,以上 拱 眼 脸 薄 拔 头发 蜡 布什 
眼线,颜色 眼睛 化妆 女孩 黑色 
视力,请参阅 身体 视觉 器官 
寓言,伊索 故事 道德 ​​故事 真实 
织物,编织 棉 材料 缝制 布 
脸,沟通 嘴唇 嘴里 吃 正文 哺乳动物时钟 头 脸颊 耳朵 眉毛 鼻子 皱纹 人类 识别 表达 眼 笑 口味 看看 纹理 请参阅 
facebook,社会 网站 媒体 朋友 ​​人 地方 互联网 站点 网络 人 
方面,表面 平面 水 平滑 方面 宝石 部分 脸 钻石 
因素,数学 方面 部分 结果 元素 
工厂,生产 好 制造 建立 地方 工作 大 人 
事实,通知 真相 科学 证明 真实 
时尚,热潮 时期 新 样式 趋势 人 时间 显示 磨损 运行 更改 纽约 时尚 布 热情 
淡入淡出,颜色 缓慢 丢失 出现 逐渐 明亮 少 
失败,移动 下降 成功 人 等级 测试 坏 向上 向下 失败 沉沉 f 
公平,平等 皮肤 骑 游戏 人 
仙女,魔术 想象 小 神话 翼 生物 
童话,小说 王子 故事 字符 幻想 儿童 真实 
忠实,信仰 诚实 忠诚 真实 人 
假的,说谎 假装 行动 真实 人 
猎鹰,狩猎 蛋 爪 羽毛 动物 巢 捕食者 翼 飞 啮齿动物 鸟 生成 大 
秋天,感恩节 推 橙色 命中 低 吓了一跳 重力 更改 自愿 酷 超过 联系人 旅行 后 休息 提升 伤害 离开 树 行动 时间冬季 棕色 移动 季节 夏季 地板 地面 人类 十月 学校 红色 丢失 春天爱 黄色 拉 秋天 意图 控制 土地 平衡 冷 天气 之前 万圣节 请 对象 向下 恐慌 
谬论,说谎 欺骗 错误 真实 
名望,知道 很好 钱 名人 人 
家庭,爱 兄弟 表弟 阿姨 关闭 叔叔 父母 母亲 妈妈 支持 爸爸 父亲 姐姐 相关 护理 人 
饥荒,饥饿 食品 死 缺乏 时间 干 
著名,知道 受欢迎 很好 名人 人 
风扇,旋转 圆 刀片 打击 酷 空气 人 
风扇装置,打开 电动 夏季 速度 叶片 金属 打击 天花板 酷 推进 房子 警卫队 空气 
花式,精心制作 特别 费用 不错 装饰 
毒牙,吸血鬼 咬 锋利 动物 狗 毒液 蛇 点 牙齿 
梦幻般的,好 信仰 奇迹 令人敬畏 惊奇 伟大 
幻想,童话 本书 想象 梦 发生 想要 向上 体裁 真实 足球 人 
远,远 近 
